"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13313","test_create_courier_success","tests","2026-06-07","passed","2026-06-07","TestCreateCourier","test_create_courier","",""
"","2344","test_create_courier_without_first_name","tests","2026-06-07","passed","2026-06-07","TestCreateCourier","test_create_courier","",""
"","738","test_create_order[color2]","tests","2026-06-07","passed","2026-06-07","TestCreateOrder","test_create_order","",""
"","726","test_create_courier_without_password","tests","2026-06-07","passed","2026-06-07","TestCreateCourier","test_create_courier","",""
"","11527","test_get_orders","tests","2026-06-07","passed","2026-06-07","TestGetOrders","test_get_orders","",""
"","772","test_create_courier_without_login","tests","2026-06-07","passed","2026-06-07","TestCreateCourier","test_create_courier","",""
"","736","test_login_courier_with_nonexistent_user","tests","2026-06-07","passed","2026-06-07","TestLoginCourier","test_login_courier","",""
"","816","test_login_courier_without_login","tests","2026-06-07","passed","2026-06-07","TestLoginCourier","test_login_courier","",""
"","819","test_create_courier_with_same_login","tests","2026-06-07","passed","2026-06-07","TestCreateCourier","test_create_courier","",""
"","870","test_login_courier_success","tests","2026-06-07","passed","2026-06-07","TestLoginCourier","test_login_courier","",""
"","767","test_create_order[color0]","tests","2026-06-07","passed","2026-06-07","TestCreateOrder","test_create_order","",""
"","804","test_create_order[color3]","tests","2026-06-07","passed","2026-06-07","TestCreateOrder","test_create_order","",""
"","766","test_create_order[color1]","tests","2026-06-07","passed","2026-06-07","TestCreateOrder","test_create_order","",""
"","832","test_login_courier_with_wrong_password","tests","2026-06-07","passed","2026-06-07","TestLoginCourier","test_login_courier","",""
